Area,School,level,physical_address,ECD_Enrollment_Boys_and_Girls,Primary_Enrollment_Boys,Primary_Enrollment_Girls,ECD_Classes_Offered,Primary_Classes_Offered,Teachers_assigned,,,,,
Etsako West,SULE P/S APANA,PE,AYOGWRIR RD APANA,77,167,154,3,6,3,,,,,
owan west,St. Eugene’s P/S Sobe,PE,"Along Old Lagos rd, Sobe",102,173,164,3,6,9,,,,,
Oredo,ST. PAUL’S PRIMARY SCHOOL,PE,"OFF AIRPORT ROAD, OPPOSITE CATHOLIC CHURCH",58,118,139,3,6,4,,,,,
IKPOBA OKHA,ST. SAVIOUR PRIMARY SCHOOL,PE,"ST. SAVIOUR ROAD, OFF SAKPONBA",207,346,355,3,6,5,,,,,
owan west,St. Stephen P/S Sobe,PE,"Along Ijagba Rd, Sobe",90,105,138,3,6,3,,,,,
owan west,St. Thomas Moore P/S Sobe,PE,Along Catholic Mission Road,133,136,104,3,6,3,,,,,
Ovia Neast,SPECIAL EDU. A. Alt,,Behind Emai P\S Afuze,0,4,9,3,6,4,,,,,
owan east,SPECIAL EDU. P\S AFUZE,,Behind Emai P\S Afuze,0,4,9,3,6,9,,,,,
Ovia Swest,SILUKO P/S SILUKO,PE,SILUKO VILLAGE,34,181,157,3,6,8,,,,,
Etsako West,SCHOOL FOR PHY CHA AUCHI,P,ALONG IGBE RD AUCHI,0,24,22,3,6,3,,,,,
Oredo,SCHOOL FOR THE BLIND,PE,"OFF I.C.E. ROAD, UKHEGIE QRTS, BEHIND ST. AUGUSTINE CATHOLIC CHURCH BENINCITY",0,0,0,3,6,9,,,,,
Oredo,SCHOOL FOR THE DEAF,PE,"UKHEGIE STREET, OFF I.C.E. ROAD, BENIN CITY",54,134,119,3,6,9,,,,,
Oredo,SCHOOL FOR THE MENTALLY RETARDED CHILDREN,PE,UKHEGIE STREET OFF I.C.E. ROAD BESIDE ST AUGUSTINE CATHOLIC CHURCH BENIN CITY,42,36,45,3,6,9,,,,,
Ovia Swest,SAYO P/S SAYO,P,SAYO VILLAGE,0,42,43,3,6,6,,,,,
ESAN SEAST,S.H DEM P/S UBIAJA,P,S.H DEM P/S UBIAJA,187,220,201,3,6,8,,,,,
IKPOBA OKHA,R.R.IN. PRIMARY SCHOOL,PE,"IYANOMO, OFF SAPELE ROAD",130,176,160,3,6,9,,,,,
IKPOBA OKHA,PHYSICAL HANDICAP,P,"AUCHI ROAD, IKPOBAHILL",9,26,34,3,6,9,,,,,
Oredo,PAYNE PRIMARY SCHOOL,PE,"121 UPPER MISSION ROAD,    BENIN CITY",277,640,631,3,6,5,,,,,
ESAN SEAST,PASTORAL C. P/S KOJO,P,PASTORAL C. P/S KOJO,0,76,77,3,6,3,,,,,
ESAN SEAST,PASTORAL C. P/S OSUAN,P,PASTORAL C. P/S OSUAN,0,76,70,3,6,7,,,,,
ESAN SEAST,PASTORAL P/S EMU I,P,PASTORAL P/S EMU I,0,44,44,3,6,3,,,,,
ESAN SEAST,PASTORAL P/S EWOHIMI,P,PASTORAL P/S EWOHIMI,65,85,74,3,6,6,,,,,
UHUNMWODE,OZUA P/S OHEISI,PE,OKHUOKHUOOGHADA ROAD,69,141,156,3,6,9,,,,,
Ovia Swest,OZOLUA P/S IGUOBAZUWA,PE,MISSION ROAD IGUOBAZUWA,171,348,364,3,6,6,,,,,
UHUNMWODE,OZOLUA P/S IRIWE,P,IRIWE VILLAGE,0,53,109,3,6,5,,,,,
